AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
District Department of Transportation,57.64284212136836,2009-04-30
Office of the Inspector General,374.8931513507784,2009-09-02
Department on Disability Services,235.26737246153328,2009-09-16
Office of the Chief Medical Examiner,46.429840579367436,2009-08-25
Department of Corrections,-115.52502679015242,2009-08-05
Department of Health,184.69429038783846,2009-05-01
Child & Family Services Administration,185.5462164598131,2009-08-23
Office of the Chief Technology Officer,957.6443131908331,2009-03-20
Office of the Inspector General,-240.3748404744554,2009-04-20
Fire & Emergency Medical Services,-214.42756063189736,2009-06-17
Department on Disability Services,860.9287418795955,2009-12-07
District Department of Transportation,1243.101350116454,2009-11-01
Metropolitan Police Department,14.043948588656832,2009-02-13
District Department of the Environment,-167.20959163612184,2009-09-10
Office of the Chief Financial Officer,716.6505707642063,2009-05-20
City Administrator/Deputy Mayor,400.54975978699355,2009-04-24
Department of Housing & Community Development,-72.12029407615634,2009-12-28
Department of Corrections,366.45594039720504,2009-08-27
Department of Motor Vehicles,2321.1228164552276,2009-05-22
Office of Unified Communications,2069.923828811076,2009-09-11
Department of Mental Health,2397.648529644595,2009-02-27
Child & Family Services Administration,1619.0617906219697,2009-10-29
DC Public Library,599.2603506453015,2009-09-17
Department of Housing & Community Development,285.12681829191666,2009-10-14
Fire & Emergency Medical Services,4016.4969944990785,2009-06-17
Department of Property Management,1218.8367285099225,2009-05-15
Department of Property Management,633.5497075625659,2009-03-24
University of the District of Columbia,230.6796739212856,2009-09-18
Fire & Emergency Medical Services,303.18171789476634,2009-03-12
DC Public Library,16.680123165683533,2009-08-12
Metropolitan Police Department,781.2960270014914,2009-03-19
Fire & Emergency Medical Services,104.52132901168225,2009-05-08
Fire & Emergency Medical Services,336.07557139659815,2009-08-28
Fire & Emergency Medical Services,328.8538090795199,2009-06-24
Department of Motor Vehicles,-82.55792382372562,2009-08-13
Office of the State Superintendent of Education,162.96577800763242,2009-01-22
District Department of Transportation,-33.462740729853195,2009-11-19
Office of the Mayor,-42.35256641248727,2009-02-17
Metropolitan Police Department,-15.12399842984249,2009-04-24
City Administrator/Deputy Mayor,205.99709125186558,2009-07-29
District Department of Transportation,2930.3219133763146,2009-05-28
Metropolitan Police Department,362.17948690333947,2009-10-19
Department on Disability Services,1314.2891674119962,2009-05-28
Office of the State Superintendent of Education,1562.8291031694196,2009-06-19
Metropolitan Police Department,225.49352991729836,2009-01-15
Department on Disability Services,174.26242040328117,2009-12-18
Commission on Arts & Humanities,359.3223747655252,2009-07-06
Office of the State Superintendent of Education,1336.3253492901392,2009-09-05
Metropolitan Police Department,396.0193968390771,2009-06-04
DC Public Library,213.15807812401488,2009-12-16
DC Department of Human Resources,106.71320684074954,2009-07-21
Office of Unified Communications,386.31578149896404,2009-03-17
Fire & Emergency Medical Services,158.57890049928199,2009-01-09
Metropolitan Police Department,4534.780724330081,2009-02-13
Department of Health,111.47058214341445,2009-12-14
Department of Corrections,231.755666610348,2009-02-05
District Department of Transportation,1179.4464498616537,2009-05-27
"Department of Insurance, Securities & Banking",-108.18603811170263,2009-12-02
Department of Health,396.5256448780322,2009-05-13
Department of  Youth Rehabilitation Services,291.7748074680761,2009-09-11
Office of the Tenant Advocate,214.51270242832686,2009-04-01
DC Public Library,289.50942907025603,2009-09-25
Fire & Emergency Medical Services,89.56816530621796,2009-01-27
DC Taxicab Commission,391.75816637853535,2009-05-19
Department of Health,248.7686461213896,2009-09-17
Department of Health,2468.1823116667692,2009-09-04
District Department of Transportation,300.7985010125211,2009-11-02
Board of Elections & Ethics,-35.79147220779608,2009-07-02
District Department of the Environment,1800.30035960525,2009-05-01
Metropolitan Police Department,169.9655044416005,2009-11-10
University of the District of Columbia,2605.6800919076977,2009-10-20
Office of the Chief Financial Officer,750.2886747698757,2009-06-09
Department of Health,-4.8263927183045325,2009-09-14
Office of Police Complaints,1838.0688443483907,2009-11-07
DC Department of Human Resources,92.35925452671782,2009-03-25
Office of the Chief Technology Officer,1706.8665467282062,2009-09-23
Metropolitan Police Department,928.804482313094,2009-11-10
Fire & Emergency Medical Services,2419.7197264125643,2009-07-24
Fire & Emergency Medical Services,1615.942214200733,2009-03-09
Metropolitan Police Department,1037.300270206953,2009-05-07
Office of Unified Communications,171.1911129890377,2009-04-09
Department of  Youth Rehabilitation Services,690.6511840825694,2009-02-06
Department of Public Works,2852.7220818958585,2009-02-04
Department of Health,144.5790305968063,2009-07-09
Department of Employment Services,132.3058480085886,2009-01-16
Fire & Emergency Medical Services,366.7689697161362,2009-11-19
Department of Housing & Community Development,438.1654113552429,2009-10-22
Metropolitan Police Department,875.6615579121277,2009-05-19
Fire & Emergency Medical Services,-223.67177441787237,2009-07-23
Department on Disability Services,-5.418352942270275,2009-02-04
District Department of the Environment,264.03504191453993,2009-09-25
Department of Consumer & Regulatory Affairs,410.3708327407096,2009-05-13
District Department of Transportation,506.10440735470263,2009-04-10
"Department of Insurance, Securities & Banking",189.41797001823855,2009-10-23
Metropolitan Police Department,75.97909546306269,2009-09-03
Department of Public Works,-111.77101165447078,2009-10-22
District Department of the Environment,113.2344834761304,2009-06-17
Department of Property Management,-126.55722484836281,2009-07-09
District Department of the Environment,1318.499231077105,2009-05-04
Metropolitan Police Department,-132.6928216379193,2009-09-21
Department of Public Works,262.2722196189884,2009-11-30
District Department of the Environment,406.9320197538988,2009-02-18
Office of the Inspector General,609.731688441144,2009-11-10
Office of the Inspector General,143.08777533066078,2009-04-09
Department of Health,220.89499355915848,2009-03-27
Department of Health,725.4639943955532,2009-01-28
District Department of the Environment,304.83674532646654,2009-10-19
Fire & Emergency Medical Services,534.0133252339709,2009-12-01
Department on Disability Services,19.222975466827464,2009-09-23
Department of Health,969.6092677301573,2009-03-30
Fire & Emergency Medical Services,2451.2842157152777,2009-01-09
Fire & Emergency Medical Services,101.95616295615554,2009-09-15
Fire & Emergency Medical Services,1799.2049219633475,2009-02-01
District Department of Transportation,-55.19973868581482,2009-04-21
Fire & Emergency Medical Services,581.0279989588855,2009-08-14
Department of Property Management,292.30160745043355,2009-06-04
Office on Aging,38.46729836597143,2009-12-02
Office of the State Superintendent of Education,520.7651850514758,2009-09-24
District Department of Transportation,2702.170487886544,2009-06-13
Department of Employment Services,240.8650513104883,2009-08-17
Department of Public Works,531.4509555280345,2009-07-08
District Department of Transportation,326.7460674103229,2009-05-15
Fire & Emergency Medical Services,-24.527482208923672,2009-01-12
Department of Health,71.57127635979847,2009-01-08
Department of Property Management,45.30276988366873,2009-11-06
DC Public Library,808.1008428571851,2009-09-15
Department of Health,333.81250714566056,2009-05-15
Department of Health,296.70355253780826,2009-09-01
Fire & Emergency Medical Services,710.6783523973129,2009-05-13
Office of the State Superintendent of Education,586.8711804160844,2009-10-24
District Department of the Environment,394.3866878020159,2009-06-01
DC Lottery & Charitable Games Control Board,132.21359866625096,2009-02-12
Metropolitan Police Department,239.48133796479914,2009-09-18
Department of Motor Vehicles,487.59045152495355,2009-05-12
Department on Disability Services,592.0230354884626,2009-08-06
Homeland Security/Emergency Management,629.9158888411638,2009-09-17
Child & Family Services Administration,25.328876073499366,2009-05-14
Fire & Emergency Medical Services,2760.067067976133,2009-01-22
Office of the Chief Financial Officer,2476.802983111261,2009-11-12
Metropolitan Police Department,856.3407255775419,2009-08-24
Commission of Judicial Disabilities & Tenure,23.174226871977417,2009-08-31
Office of the State Superintendent of Education,88.39913460823372,2009-12-02
Office of Latino Affairs,602.3779573490991,2009-11-26
Metropolitan Police Department,111.28927953081437,2009-06-29
DC Public Library,2487.028502454876,2009-10-16
Office of the Attorney General,345.5647933623552,2009-09-18
Office of the Chief Financial Officer,1034.967389098928,2009-11-16
Office of the Chief Financial Officer,3056.6511484248986,2009-04-06
Department of Property Management,236.8944793650905,2009-08-28
Department of Human Services,2359.47198291274,2009-11-05
Office of the Chief Financial Officer,557.3701886227993,2009-02-23
Department of Parks & Recreation,82.80095691354587,2009-03-13
Department of  Youth Rehabilitation Services,124.1587988844339,2009-03-19
Fire & Emergency Medical Services,175.3320121501394,2009-05-14
Department of Property Management,94.77334590945489,2009-01-12
District Department of Transportation,-129.72915338639342,2009-05-08
District Department of the Environment,-52.5475651567452,2009-07-27
Department of Health,2099.64307462474,2009-01-13
Metropolitan Police Department,-233.16053251412583,2009-05-19
Department of  Youth Rehabilitation Services,156.38285615944062,2009-08-28
Commission on Arts & Humanities,273.0014191926516,2009-07-23
Department of Health,89.35880519802558,2009-06-17
DC Department of Human Resources,432.2907710951872,2009-06-03
Department of Public Works,277.66113832573444,2009-07-17
Department of  Youth Rehabilitation Services,1366.6664714356027,2009-05-14
Department of Property Management,823.0578817456618,2009-03-16
Office of the Chief Technology Officer,-1609.2272622508458,2009-04-29
University of the District of Columbia,-126.2856571529734,2009-05-15
Office of the State Superintendent of Education,145.32606879169424,2009-05-22
DC Public Library,453.5638801063901,2009-12-08
Office of the State Superintendent of Education,1541.3568471491324,2009-07-06
Deputy Mayor for Economic Development,9.001207247445642,2009-06-05
Department of Public Works,660.7076917276615,2009-06-17
Office of Municipal Planning,371.20545214137695,2009-09-08
University of the District of Columbia,109.01040648750225,2009-05-29
Fire & Emergency Medical Services,1287.3260128324891,2009-06-10
Fire & Emergency Medical Services,-47.52124055449591,2009-04-16
Office of the Attorney General,-37.47307963377556,2009-03-24
District Department of the Environment,-27.591598728631368,2009-03-06
Department of Corrections,-74.38714896952185,2009-09-16
District Department of Transportation,1557.6714417533462,2009-10-16
Office of the State Superintendent of Education,39.88196456105856,2009-12-14
Fire & Emergency Medical Services,716.9919786202302,2009-01-14
District Department of the Environment,154.61565164988946,2009-08-18
Office of the Chief Financial Officer,606.7207379477959,2009-10-13
Department of Consumer & Regulatory Affairs,365.28127976520267,2009-09-18
Department of Corrections,107.24250003687588,2009-09-23
Fire & Emergency Medical Services,910.004157508683,2009-09-23
District Department of Transportation,76.15156045972797,2009-11-14
Department on Disability Services,167.96497721822598,2009-02-06
Office of the Tenant Advocate,348.99905756466467,2009-05-09
Department of Health,424.6283302425144,2009-08-19
Department on Disability Services,384.7983792255629,2009-11-18
DC Public Library,390.19201782888825,2009-08-31
Fire & Emergency Medical Services,744.1123641658405,2009-06-13
Department of Motor Vehicles,85.9160055625723,2009-02-12
Office of the State Superintendent of Education,298.7259903025799,2009-05-11
Fire & Emergency Medical Services,203.59661081313686,2009-03-11
Department of Property Management,247.31175760131862,2009-08-20
