AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Office of the Chief Financial Officer,2585.43,2009-09-21
Department of Health Care Finance,12.86,2009-08-11
Department of Health,1156.49,2009-11-29
Office of the Attorney General,2066.25,2009-08-16
District Department of Transportation,153.16,2009-08-21
Department on Disability Services,381.44,2009-08-05
Department on Disability Services,137.17,2009-01-21
Metropolitan Police Department,18.21,2009-05-21
Department of Employment Services,64.78,2009-08-11
Fire & Emergency Medical Services,1875.45,2009-09-02
Department of Health Care Finance,1749.13,2009-06-06
Department of Public Works,34.22,2009-02-14
DC Public Library,1705.1,2009-08-14
Department of Employment Services,288.06,2009-04-15
Office of the State Superintendent of Education,155.74,2009-09-28
Department of Health Care Finance,18.56,2009-04-23
Department of Motor Vehicles,2060.51,2009-04-16
Department of Health,-432.51,2009-02-10
Department of Public Works,170.95,2009-06-17
District Department of Transportation,64.72,2009-12-01
Metropolitan Police Department,167.82,2009-08-26
Office of the Tenant Advocate,-74.8,2009-02-13
Fire & Emergency Medical Services,-303.41,2009-01-24
District Department of the Environment,-21.49,2009-11-15
Department on Disability Services,287.5,2009-08-06
Alcoholic Beverage Regulation Administration,346.72,2009-04-25
District Department of Transportation,1887.43,2009-08-06
Department of Health,8.64,2009-06-19
Metropolitan Police Department,57.83,2009-05-17
DC Department of Human Resources,-111.23,2009-06-03
Department of Employment Services,10.75,2009-01-18
Department of Consumer & Regulatory Affairs,2025.86,2009-08-18
Department of Corrections,38.34,2009-09-07
Department of Corrections,59.01,2009-03-20
Office of the State Superintendent of Education,32.12,2009-07-20
Office of the Chief Financial Officer,92.59,2009-02-20
Department of Human Services,213.23,2009-08-09
Office of the Chief Technology Officer,369.21,2009-04-23
Department of Health,241.83,2009-05-03
District Department of the Environment,31.58,2009-12-11
Fire & Emergency Medical Services,138.2,2009-04-12
Office of the Chief Financial Officer,2174.62,2009-04-21
Office of the State Superintendent of Education,1626.13,2009-11-22
Fire & Emergency Medical Services,140.09,2009-09-13
Office of the State Superintendent of Education,102.56,2009-05-24
Department of Health,1850.02,2009-02-11
Department of Motor Vehicles,465.6,2009-09-01
Office of Motion Pictures & Television,18.54,2009-04-07
Office of Cable TV,2156.02,2009-02-26
Office of the Inspector General,1925.14,2009-07-29
Office of Public Educational Facilities Modernization,272.58,2009-12-06
Department of Corrections,1831.69,2009-09-05
Child & Family Services Administration,11.96,2009-05-22
Fire & Emergency Medical Services,244.97,2009-01-05
Commission on Arts & Humanities,59.21,2009-04-03
Office of Latino Affairs,126.9,2009-08-12
DC Public Library,-2141.09,2009-05-02
Department of Health,17.73,2009-05-10
Department of Parks & Recreation,-288.67,2009-08-19
District Department of Transportation,452.51,2009-03-01
District Department of the Environment,398.05,2009-05-24
Office of the Chief Financial Officer,117.43,2009-08-25
DC National Guard,150.44,2009-02-01
Department of Public Works,702.41,2009-02-22
Department of  Youth Rehabilitation Services,42.7,2009-03-06
Department of Employment Services,2451.57,2009-08-21
Office of the Chief Financial Officer,-148.96,2009-04-07
Department of  Youth Rehabilitation Services,700.74,2009-08-21
Office of the Attorney General,2117.77,2009-05-27
Department of Human Services,160.4,2009-09-02
District Department of the Environment,478.33,2009-08-23
Department of Consumer & Regulatory Affairs,28.44,2009-08-26
Department of Human Services,314.98,2009-12-11
Department of  Youth Rehabilitation Services,-31.12,2009-08-04
District Department of Transportation,379.38,2009-08-01
Department on Disability Services,320.28,2009-02-22
District Department of the Environment,67.51,2009-09-17
Fire & Emergency Medical Services,775.4,2009-03-13
Office of the Attorney General,2266.42,2009-08-13
Department of Public Works,68.77,2009-11-28
Department on Disability Services,36.98,2009-10-25
DC Department of Human Resources,150.5,2009-09-13
Office of Contracting & Procurement,1828.58,2009-09-08
Office of Cable TV,777.39,2009-04-04
Office of the State Superintendent of Education,-464.46,2009-02-16
DC Taxicab Commission,87.0,2009-11-05
District Department of Transportation,1738.86,2009-09-27
Office of the State Superintendent of Education,24.85,2009-02-07
Office of Municipal Planning,29.43,2009-11-22
Department of Housing & Community Development,26.73,2009-09-21
District Department of Transportation,1946.1,2009-04-13
Department of Health,143.56,2009-11-13
Office of Latino Affairs,12.39,2009-04-29
Homeland Security/Emergency Management,1590.44,2009-01-01
Child & Family Services Administration,26.95,2009-03-06
"Department of Insurance, Securities & Banking",1605.31,2009-08-23
Office of Human Rights,48.29,2009-09-27
Office of the State Superintendent of Education,229.32,2009-11-09
District Department of the Environment,44.39,2009-04-10
Department of Public Works,158.57,2009-05-15
Department of Corrections,1561.49,2009-10-21
Department of Education,59.45,2009-09-24
Fire & Emergency Medical Services,-0.88,2009-05-12
Department of  Youth Rehabilitation Services,240.72,2009-04-27
District Department of Transportation,2372.42,2009-05-27
Office of the Chief Financial Officer,23.89,2009-05-01
Department on Disability Services,431.9,2009-02-27
Department on Disability Services,158.21,2009-12-01
Metropolitan Police Department,2177.51,2009-12-01
Office of Administrative Hearings,21.28,2009-08-28
Metropolitan Police Department,2242.68,2009-08-01
District Department of Transportation,66.84,2009-03-19
Department of Public Works,324.69,2009-02-12
Fire & Emergency Medical Services,129.48,2009-02-13
Department on Disability Services,30.29,2009-04-21
Department of Health,62.56,2009-07-17
Metropolitan Police Department,90.38,2009-10-25
Department of Corrections,182.42,2009-09-01
Department of Parks & Recreation,-37.91,2009-02-20
Fire & Emergency Medical Services,-314.14,2009-04-30
Board of Elections & Ethics,55.78,2009-09-06
Office of the Chief Technology Officer,2.1,2009-09-21
Disability Compensation Fund,1529.4,2009-02-28
Department of Corrections,2174.2,2009-08-17
Department of Employment Services,211.51,2009-06-10
District Department of the Environment,2075.11,2009-02-08
Office of Latino Affairs,1540.34,2009-08-11
District Department of Transportation,43.42,2009-03-05
Fire & Emergency Medical Services,51.87,2009-03-18
Metropolitan Police Department,-356.66,2009-04-29
Office of Contracting & Procurement,135.06,2009-04-21
Office of Public Educational Facilities Modernization,906.4,2009-09-08
Metropolitan Police Department,2163.86,2009-04-21
Department of Health,42.25,2009-01-06
Department of Public Works,68.75,2009-02-12
Department of Public Works,52.58,2009-05-09
District Department of Transportation,23.38,2009-09-21
Alcoholic Beverage Regulation Administration,1729.35,2009-11-17
Department of Employment Services,44.26,2009-05-09
Office of the Attorney General,103.44,2009-01-17
District Department of Transportation,195.8,2009-04-01
District Department of the Environment,46.15,2009-01-31
Office of the Chief Technology Officer,187.88,2009-08-15
Fire & Emergency Medical Services,20.77,2009-02-18
Fire & Emergency Medical Services,38.4,2009-11-17
District Department of the Environment,59.43,2009-09-13
Department of Health,-159.84,2009-03-06
Fire & Emergency Medical Services,520.29,2009-07-31
Fire & Emergency Medical Services,1878.12,2009-08-15
Office of Administrative Hearings,242.47,2009-06-25
Fire & Emergency Medical Services,73.04,2009-09-06
Office of Community Affairs,327.35,2009-08-22
Office of the Chief Financial Officer,383.71,2009-04-11
Department of Public Works,1139.69,2009-08-21
District Department of the Environment,566.16,2009-02-09
"Department of Insurance, Securities & Banking",122.15,2009-09-07
Metropolitan Police Department,2074.4,2009-12-19
Fire & Emergency Medical Services,2000.86,2009-01-26
Department on Disability Services,34.09,2009-08-19
Metropolitan Police Department,2150.13,2009-12-05
DC Public Library,-531.06,2009-04-22
Office of Partnership & Grant Services,-1104.1,2009-01-18
Department of Public Works,33.9,2009-03-24
Department of Public Works,288.21,2009-04-16
Department of Public Works,2352.47,2009-08-17
DC Public Library,85.38,2009-10-31
Office of Police Complaints,1529.42,2009-01-07
Fire & Emergency Medical Services,391.52,2009-05-26
Department of Human Services,34.58,2009-07-26
Department of Education,1803.4,2009-01-20
Office of Justice Grants Administration,24.73,2009-01-18
Office of Contracting & Procurement,754.17,2009-04-25
Department of Mental Health,1899.16,2009-03-29
Office of the Chief Financial Officer,-703.15,2009-04-12
Fire & Emergency Medical Services,12.27,2009-05-10
Department of  Youth Rehabilitation Services,23.91,2009-07-20
Fire & Emergency Medical Services,12.85,2009-03-25
Office of the Attorney General,443.72,2009-02-15
Office of Contracting & Procurement,36.48,2009-09-14
Office of the Tenant Advocate,218.26,2009-03-29
District Department of Transportation,2296.12,2009-09-28
Department of Health,-150.96,2009-03-08
Department of Health,1053.45,2009-07-21
Metropolitan Police Department,24.72,2009-03-12
Office of the Inspector General,1472.76,2009-12-09
Department of Human Services,577.19,2009-02-22
District Department of Transportation,75.05,2009-08-30
Office of Municipal Planning,-0.9,2009-11-24
Fire & Emergency Medical Services,4.39,2009-01-13
Office of the Chief Technology Officer,317.32,2009-01-17
Office of Latino Affairs,114.38,2009-07-01
Department on Disability Services,53.7,2009-01-07
Department of  Youth Rehabilitation Services,1783.48,2009-03-20
Office of the State Superintendent of Education,498.88,2009-11-10
Department of Housing & Community Development,2154.32,2009-12-16
Department of Consumer & Regulatory Affairs,140.23,2009-09-26
Commission on Arts & Humanities,1680.73,2009-04-16
Department of  Youth Rehabilitation Services,1552.3,2009-08-06
Department of Corrections,2229.57,2009-08-18
Metropolitan Police Department,1814.3,2009-04-03
Department on Disability Services,207.19,2009-04-07
District Department of the Environment,6.74,2009-04-24
Department of Health Care Finance,-24.88,2009-10-03
Office of Administrative Hearings,52.62,2009-03-13
Department of Housing & Community Development,58.34,2009-12-03
Department of Public Works,67.98,2009-05-29
Department of Health,1743.21,2009-08-02
Fire & Emergency Medical Services,603.11,2009-08-23
Office of Zoning,2417.58,2009-09-03
District Department of Transportation,21.49,2009-03-21
Department of Mental Health,6.89,2009-03-21
Department of Public Works,-92.41,2009-09-08
Department of  Youth Rehabilitation Services,239.76,2009-09-15
Office of the Chief Financial Officer,9.31,2009-07-11
Metropolitan Police Department,145.66,2009-09-28
Department of Human Services,19.67,2009-08-29
Department of Health,2014.68,2009-02-13
Department of Health,55.84,2009-04-20
Department of Health,441.59,2009-04-18
District Department of Transportation,2427.51,2009-05-12
Office of the State Superintendent of Education,34.18,2009-01-20
DC Department of Human Resources,149.9,2009-08-28
Department of Health,128.97,2009-04-05
Department of Corrections,136.97,2009-05-05
Metropolitan Police Department,-16.88,2009-01-30
Department of Housing & Community Development,14.91,2009-03-21
Department of Health,438.86,2009-01-24
Department of Health,-0.54,2009-05-18
DC Public Library,42.89,2009-12-05
Department of Human Services,67.81,2009-11-14
Office of the Inspector General,50.77,2009-08-31
DC Public Library,159.44,2009-07-30
Office of the Chief Technology Officer,19.0,2009-08-22
Serve DC,1914.69,2009-08-08
Office of the Mayor,87.94,2009-12-01
Department of Property Management,-262.48,2009-05-01
Office of the Mayor,55.73,2009-08-28
Department of Health,1728.54,2009-09-24
Department of  Youth Rehabilitation Services,23.87,2009-04-13
Fire & Emergency Medical Services,1791.43,2009-12-11
Department of Public Works,448.01,2009-04-17
Department of Motor Vehicles,237.27,2009-07-04
Office of the State Superintendent of Education,1259.34,2009-12-04
Department of Mental Health,283.73,2009-08-05
District Department of Transportation,127.55,2009-03-03
Department of Property Management,33.33,2009-03-10
Department of Property Management,584.03,2009-02-08
Department on Disability Services,2020.07,2009-03-16
DC Public Library,-5.93,2009-08-27
Fire & Emergency Medical Services,51.2,2009-04-03
Metropolitan Police Department,546.87,2009-11-05
Fire & Emergency Medical Services,527.18,2009-04-07
Office of Contracting & Procurement,25.33,2009-08-10
Office of Municipal Planning,167.72,2009-08-08
Fire & Emergency Medical Services,56.63,2009-08-21
Department of Mental Health,-211.76,2009-02-14
"Department of Insurance, Securities & Banking",6.16,2009-05-22
Department of  Youth Rehabilitation Services,-2253.65,2009-08-30
Department of Public Works,33.98,2009-05-22
Office of the Tenant Advocate,26.4,2009-08-22
Department of Housing & Community Development,36.6,2009-04-25
DC Sentencing & Criminal Code Review Committee,128.93,2009-05-14
Office of Community Affairs,390.46,2009-02-27
District Department of Transportation,53.22,2009-11-29
DC Lottery & Charitable Games Control Board,152.24,2009-05-06
"Department of Insurance, Securities & Banking",100.64,2009-04-23
Department of Small & Local Business Development,38.66,2009-08-23
District Department of the Environment,59.63,2009-07-09
Department of Health,501.92,2009-01-03
Department of Consumer & Regulatory Affairs,30.0,2009-01-25
DC Sentencing & Criminal Code Review Committee,26.14,2009-08-18
Department on Disability Services,1037.34,2009-08-21
Metropolitan Police Department,190.2,2009-12-14
Department of Housing & Community Development,42.49,2009-01-03
District Department of Transportation,352.15,2009-12-22
Department on Disability Services,160.03,2009-08-15
Office of Unified Communications,463.17,2009-08-02
Office of the Secretary,63.53,2009-01-08
District Department of Transportation,7.25,2009-08-15
DC Public Library,-582.18,2009-02-10
Office of the Tenant Advocate,197.71,2009-08-22
Department of Mental Health,1476.25,2009-06-23
Commission on Arts & Humanities,8.19,2009-03-21
Office of Public Educational Facilities Modernization,339.43,2009-08-27
Department of Health,-2107.15,2009-03-22
District Department of Transportation,602.96,2009-08-15
Office of the Chief Technology Officer,-431.66,2009-06-22
Office of the Chief Financial Officer,145.52,2009-08-17
Metropolitan Police Department,33.81,2009-10-03
Department of Health,943.16,2009-10-14
Office of the Mayor,2129.91,2009-09-24
Department of Public Works,-8.0,2009-12-07
Office of the State Superintendent of Education,43.56,2009-08-12
Office of the State Superintendent of Education,307.54,2009-01-25
Serve DC,246.39,2009-01-17
Department on Disability Services,22.41,2009-02-08
Department of  Youth Rehabilitation Services,1858.47,2009-06-23
Office of Partnership & Grant Services,-934.98,2009-02-13
Office of the Chief Financial Officer,135.71,2009-01-31
Department of  Youth Rehabilitation Services,2277.32,2009-07-27
Office of Municipal Planning,1773.06,2009-10-08
DC Taxicab Commission,100.57,2009-12-06
