AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Office of Justice Grants Administration,54.22,2009-10-18
Office of Justice Grants Administration,-12.95,2009-07-14
Office of Justice Grants Administration,620.62,2009-05-13
Office of Justice Grants Administration,753.11,2009-06-17
Office of Justice Grants Administration,228.89,2009-07-25
Office of Justice Grants Administration,-103.77,2009-09-07
Office of Justice Grants Administration,573.71,2009-08-27
Office of Justice Grants Administration,740.4,2009-08-09
Office of Justice Grants Administration,231.1,2009-10-15
Office of Justice Grants Administration,-53.48,2009-11-04
Office of Justice Grants Administration,-143.1,2009-06-10
Office of Justice Grants Administration,130.06,2009-01-29
Office of Justice Grants Administration,-315.53,2009-06-01
Office of Justice Grants Administration,964.62,2009-01-24
Office of Justice Grants Administration,-195.84,2009-09-17
Office of Justice Grants Administration,35.25,2009-05-29
Office of Justice Grants Administration,53.95,2009-10-16
Office of Justice Grants Administration,254.31,2009-03-07
Office of Justice Grants Administration,214.39,2009-03-21
Office of Justice Grants Administration,557.82,2009-12-01
Office of Justice Grants Administration,345.69,2009-08-24
Office of Justice Grants Administration,154.45,2009-02-15
Office of Justice Grants Administration,473.4,2009-08-26
Office of Justice Grants Administration,1063.98,2009-07-17
Office of Justice Grants Administration,635.23,2009-10-10
Office of Justice Grants Administration,9.24,2009-04-17
Office of Justice Grants Administration,-125.97,2009-06-05
Office of Justice Grants Administration,148.19,2009-12-23
Office of Justice Grants Administration,94.22,2009-07-10
Office of Justice Grants Administration,443.17,2009-08-18
Office of Justice Grants Administration,288.52,2009-06-04
Office of Justice Grants Administration,494.92,2009-08-12
Office of Justice Grants Administration,697.14,2009-07-16
Office of Justice Grants Administration,35.96,2009-08-01
Office of Justice Grants Administration,126.23,2009-02-26
Office of Justice Grants Administration,529.22,2009-06-20
Office of Justice Grants Administration,480.9,2009-08-05
Office of Justice Grants Administration,399.34,2009-05-06
Office of Justice Grants Administration,279.39,2009-04-11
Office of Justice Grants Administration,217.21,2009-05-11
Office of Justice Grants Administration,345.49,2009-05-16
Office of Justice Grants Administration,124.82,2009-04-10
Office of Justice Grants Administration,865.16,2009-08-25
Office of Justice Grants Administration,18.49,2009-08-30
Office of Justice Grants Administration,370.96,2010-02-04
Office of Justice Grants Administration,201.21,2009-06-19
Office of Justice Grants Administration,767.67,2009-06-22
Office of Justice Grants Administration,187.22,2009-04-16
Office of Justice Grants Administration,659.8,2009-12-08
Office of Justice Grants Administration,100.33,2009-07-05
Office of Justice Grants Administration,-0.22,2009-09-29
Office of Justice Grants Administration,-172.8,2009-08-31
Office of Justice Grants Administration,-110.71,2009-08-08
Office of Justice Grants Administration,206.57,2009-03-25
Office of Justice Grants Administration,288.41,2009-06-02
Office of Justice Grants Administration,763.25,2009-07-10
Office of Justice Grants Administration,285.51,2009-10-21
Office of Justice Grants Administration,196.63,2009-08-21
Office of Justice Grants Administration,215.75,2009-08-28
Office of Justice Grants Administration,204.26,2009-04-03
Office of Justice Grants Administration,102.26,2009-10-12
Office of Justice Grants Administration,647.36,2009-03-30
Office of Justice Grants Administration,410.47,2009-04-26
Office of Justice Grants Administration,956.45,2009-09-15
Office of Justice Grants Administration,-175.82,2009-09-02
Office of Justice Grants Administration,165.0,2009-08-30
Office of Justice Grants Administration,451.99,2009-01-29
Office of Justice Grants Administration,15.39,2009-10-01
Office of Justice Grants Administration,673.04,2009-07-01
Office of Justice Grants Administration,238.78,2009-10-25
Office of Justice Grants Administration,141.6,2009-03-03
Office of Justice Grants Administration,450.21,2009-06-24
Office of Justice Grants Administration,1018.57,2009-08-07
Office of Justice Grants Administration,218.57,2009-07-21
Office of Justice Grants Administration,399.86,2009-02-20
Office of Justice Grants Administration,826.86,2009-07-25
Office of Justice Grants Administration,385.11,2009-04-06
Office of Justice Grants Administration,19.57,2009-09-08
Office of Justice Grants Administration,112.34,2009-10-10
Office of Justice Grants Administration,-17.65,2009-04-29
Office of Justice Grants Administration,359.12,2009-07-09
Office of Justice Grants Administration,518.91,2009-06-27
Office of Justice Grants Administration,261.68,2009-07-29
Office of Justice Grants Administration,59.82,2009-07-09
Office of Justice Grants Administration,83.93,2009-01-30
Office of Justice Grants Administration,-365.03,2009-08-06
Office of Justice Grants Administration,348.4,2009-03-22
Office of Justice Grants Administration,84.34,2009-07-29
Office of Justice Grants Administration,549.98,2009-08-31
Office of Justice Grants Administration,-26.22,2009-09-25
