AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Department of Employment Services,473.5718147559808,2009-01-02
Office of the Attorney General,-631.4899045853452,2009-01-02
Department of  Youth Rehabilitation Services,784.4480278832315,2009-01-02
Office of Unified Communications,902.5289349923124,2009-01-02
Commission of Judicial Disabilities & Tenure,-356.51360938210576,2009-01-02
Disability Compensation Fund,932.1505444583486,2009-01-02
Department of Housing & Community Development,1477.9779343206865,2009-01-02
Department of Mental Health,482.70906204969,2009-01-02
DC Public Library,990.9626977222084,2009-01-02
Department of Property Management,639.843972423287,2009-01-02
Department of Human Services,1756.1995857780544,2009-01-02
District Department of Transportation,-1256.6411993583984,2009-01-01
Department of Employment Services,1651.1798372087574,2009-01-01
Department of Motor Vehicles,-357.8571697134681,2009-01-01
Department of  Youth Rehabilitation Services,-42.9921104597197,2009-01-01
DC Office of Risk Management,1346.026724803392,2009-01-01
Serve DC,-410.6938505150149,2009-01-01
Office of Contracting & Procurement,2172.0151579160133,2009-01-01
Office of Contracting & Procurement,2005.6178552037577,2009-01-01
Office of the Chief Financial Officer,553.3691248450506,2009-01-01
Department of  Youth Rehabilitation Services,1141.943776031398,2009-01-01
Office of the Tenant Advocate,-44.2961068149782,2009-01-01
Department of Mental Health,-268.1871336588382,2009-01-01
Fire & Emergency Medical Services,2722.619140929058,2009-01-01
Department of Consumer & Regulatory Affairs,1238.3607820823654,2009-01-01
Office of the Chief Medical Examiner,2307.0443842170785,2009-01-02
Fire & Emergency Medical Services,733.6328063696753,2009-01-01
Fire & Emergency Medical Services,674.817991116352,2009-01-01
Office of Contracting & Procurement,-328.8000534064846,2009-01-01
District Department of the Environment,1258.8821219377155,2009-01-01
Fire & Emergency Medical Services,-755.250967335107,2009-01-01
Fire & Emergency Medical Services,1648.7277790469147,2009-01-01
Department of Housing & Community Development,918.0332952171456,2009-01-01
District Department of Transportation,480.73529779092775,2009-01-01
DC Public Library,76.36438162892279,2009-01-02
Department of Health,-392.9424431652293,2009-01-02
District Department of the Environment,645.5541732199281,2009-01-02
Office of the Chief Medical Examiner,579.9132474019959,2009-01-02
Department on Disability Services,536.506191172923,2009-01-01
Department of Motor Vehicles,-784.8500697433086,2009-01-01
Office of Victim Services,29.499691256077654,2009-01-01
Department of Health Care Finance,1799.8804358239015,2009-01-01
Office of the Chief Medical Examiner,-678.72364005672,2009-01-01
DC Lottery & Charitable Games Control Board,-315.26402622494425,2009-01-01
Fire & Emergency Medical Services,101.03297490795164,2009-01-01
District Department of Transportation,1657.7689550147215,2009-01-01
Homeland Security/Emergency Management,-305.7610013932318,2009-01-01
District Department of Transportation,877.2201774035068,2009-01-01
Fire & Emergency Medical Services,236.38345665783947,2009-01-01
Office of the Tenant Advocate,-473.8331118082091,2009-01-01
Department of Health,1019.164495367223,2009-01-02
Fire & Emergency Medical Services,-214.92206179460595,2009-01-02
District Department of the Environment,1010.1115107636916,2009-01-02
Department on Disability Services,1570.4543885374153,2009-01-02
Fire & Emergency Medical Services,2182.384553081591,2009-01-01
Department of Mental Health,-317.1243405299075,2009-01-01
Department of Health,534.8211581504847,2009-01-02
Department of Parks & Recreation,1629.6351327215075,2009-01-02
District Department of Transportation,-164.7633676255865,2009-01-02
Department of Health,1504.026573587612,2009-01-01
Department of Public Works,-144.69701349543027,2009-01-02
Fire & Emergency Medical Services,-157.03769386323188,2009-01-02
Department of Employment Services,478.5854574376205,2009-01-02
Department of Corrections,1611.8220580518257,2009-01-02
University of the District of Columbia,1236.631069269949,2009-01-02
Fire & Emergency Medical Services,-190.6334138932374,2009-01-01
Office of Partnership & Grant Services,125.98659030054472,2009-01-02
Department of  Youth Rehabilitation Services,1285.374695257939,2009-01-02
Fire & Emergency Medical Services,-589.7538460077234,2009-01-02
Department of Corrections,159.79279673913322,2009-01-02
Office of Police Complaints,-23.16949868234599,2009-01-02
Department of Health,553.3691248450506,2009-01-02
Office of the Chief Medical Examiner,448.1499793872585,2009-01-02
Office of the State Superintendent of Education,1364.517433492363,2009-01-02
Office of Cable TV,2106.113079577243,2009-01-02
Department of Health,967.7019057714554,2009-01-02
Department of Health Care Finance,1018.307460920576,2009-01-02
