AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Department of  Youth Rehabilitation Services,977.0,2009-01-06
Department of  Youth Rehabilitation Services,-25.61,2009-01-06
DC Public Library,1035.29,2009-01-07
Office of the State Superintendent of Education,222.4,2009-01-06
Office of the State Superintendent of Education,222.4,2009-01-06
Office of the State Superintendent of Education,222.4,2009-01-06
Alcoholic Beverage Regulation Administration,675.0,2009-01-07
Fire & Emergency Medical Services,440.0,2009-01-07
Office of Unified Communications,145.0,2009-01-07
Office of Municipal Planning,420.0,2009-01-07
Department of Consumer & Regulatory Affairs,595.0,2009-01-07
Department of Consumer & Regulatory Affairs,290.0,2009-01-07
Department of Housing & Community Development,733.11,2009-01-07
Department of Housing & Community Development,167.16,2009-01-07
Department of Housing & Community Development,107.99,2009-01-07
Department of Health,1137.67,2009-01-06
Board of Elections & Ethics,151.75,2009-01-06
Department of  Youth Rehabilitation Services,68.75,2009-01-07
Department on Disability Services,72.65,2009-01-07
Department of Corrections,175.0,2009-01-06
District Department of Transportation,1050.0,2009-01-06
City Administrator/Deputy Mayor,195.0,2009-01-07
Office of the Secretary,99.35,2009-01-07
Metropolitan Police Department,150.0,2009-01-06
Fire & Emergency Medical Services,2360.0,2009-01-07
Homeland Security/Emergency Management,400.0,2009-01-07
Fire & Emergency Medical Services,118.46,2009-01-06
Fire & Emergency Medical Services,1291.8,2009-01-07
District Department of Transportation,1836.12,2009-01-06
District Department of Transportation,1100.0,2009-01-07
District Department of Transportation,3030.72,2009-01-07
Department of Health,115.0,2009-01-08
Department of Health,54.17,2009-01-07
Office of the Chief Financial Officer,91.0,2009-01-07
Office of the Mayor,298.0,2009-01-06
Office of the Mayor,72.65,2009-01-07
Department of Property Management,436.95,2009-01-08
Department of Property Management,1599.76,2009-01-08
Department of Property Management,87.12,2009-01-08
Office of Community Affairs,1500.0,2009-01-08
Department of Corrections,143.96,2009-01-08
Office of the Attorney General,2398.5,2009-01-08
Department of Public Works,312.0,2009-01-08
Department of Public Works,475.05,2009-01-08
District Department of Transportation,468.0,2009-01-09
Office of the Chief Technology Officer,34.13,2009-01-08
Fire & Emergency Medical Services,1950.4,2009-01-09
Department on Disability Services,2494.25,2009-01-08
District Department of Transportation,638.49,2009-01-08
Office of Human Rights,2000.0,2009-01-08
Office of Human Rights,42.0,2009-01-09
Office of Public Educational Facilities Modernization,388.9,2009-01-09
District Department of Transportation,29.36,2009-01-08
District Department of Transportation,885.3,2009-01-11
District Department of Transportation,18.63,2009-01-09
Office of the Mayor,29.67,2009-01-10
Department of Motor Vehicles,665.0,2009-01-09
Office of the Secretary,5650.0,2009-01-09
City Administrator/Deputy Mayor,500.0,2009-01-09
City Administrator/Deputy Mayor,500.0,2009-01-09
City Administrator/Deputy Mayor,500.0,2009-01-09
City Administrator/Deputy Mayor,262.23,2009-01-09
Department of Human Services,1540.2,2009-01-08
Office of the Chief Financial Officer,167.94,2009-01-08
Fire & Emergency Medical Services,49.49,2009-01-10
Homeland Security/Emergency Management,2496.0,2009-01-08
Office of the Chief Medical Examiner,317.0,2009-01-08
Office of the Chief Financial Officer,69.18,2009-01-14
Fire & Emergency Medical Services,81.71,2009-01-12
Fire & Emergency Medical Services,29.54,2009-01-12
Fire & Emergency Medical Services,167.44,2009-01-13
Fire & Emergency Medical Services,36.13,2009-01-13
Fire & Emergency Medical Services,249.0,2009-01-13
Fire & Emergency Medical Services,200.0,2009-01-13
Fire & Emergency Medical Services,435.07,2009-01-13
Fire & Emergency Medical Services,10.13,2009-01-13
Fire & Emergency Medical Services,667.92,2009-01-13
Fire & Emergency Medical Services,126.26,2009-01-13
Fire & Emergency Medical Services,265.78,2009-01-13
Fire & Emergency Medical Services,348.6,2009-01-13
Fire & Emergency Medical Services,12.4,2009-01-13
Department of Motor Vehicles,260.18,2009-01-12
Department of Property Management,2221.57,2009-01-13
Department of Property Management,-340.26,2009-01-13
Department of Human Services,1229.7,2009-01-12
DC Public Library,137.1,2009-01-13
Homeland Security/Emergency Management,202.8,2009-01-13
City Administrator/Deputy Mayor,1300.0,2009-01-13
Department of Human Services,149.7,2009-01-14
Department of Health,4391.55,2009-01-14
Metropolitan Police Department,173.7,2009-01-13
Metropolitan Police Department,500.0,2009-01-13
Metropolitan Police Department,500.0,2009-01-13
Metropolitan Police Department,500.0,2009-01-13
Fire & Emergency Medical Services,503.7,2009-01-12
Metropolitan Police Department,749.0,2009-01-13
Fire & Emergency Medical Services,36.62,2009-01-12
District Department of the Environment,121.2,2009-01-12
District Department of Transportation,2500.0,2009-01-13
District Department of Transportation,1046.94,2009-01-13
District Department of Transportation,3002.01,2009-01-13
District Department of Transportation,3253.51,2009-01-13
Department of Health,304.36,2009-01-13
District Department of Transportation,58.0,2009-01-12
DC Public Library,-4.8,2009-01-12
Office of the Chief Financial Officer,330.0,2009-01-13
Department of Property Management,2060.0,2009-01-14
District Department of Transportation,33.95,2009-01-13
District Department of Transportation,529.59,2009-01-13
Office of Community Affairs,1152.0,2009-01-13
Department of Health,1068.24,2009-01-13
Fire & Emergency Medical Services,232.08,2009-01-13
Fire & Emergency Medical Services,1349.4,2009-01-13
Fire & Emergency Medical Services,181.02,2009-01-14
Department of Property Management,325.46,2009-01-14
Department of Public Works,39.5,2009-01-14
Office of the Chief Technology Officer,945.0,2009-01-13
Office of the Chief Technology Officer,2322.46,2009-01-14
Fire & Emergency Medical Services,515.63,2009-01-14
District Department of Transportation,30.24,2009-01-14
District Department of Transportation,673.77,2009-01-14
Office of the Chief Technology Officer,620.97,2009-01-09
Department of Public Works,282.69,2009-01-08
Department of Public Works,117.75,2009-01-09
Department of Public Works,526.39,2009-01-09
Department of Public Works,260.0,2009-01-09
Department of Property Management,185.0,2009-01-10
District Department of Transportation,21.89,2009-01-09
District Department of Transportation,9.78,2009-01-09
District Department of Transportation,7.44,2009-01-09
District Department of Transportation,78.17,2009-01-09
"Department of Insurance, Securities & Banking",484.2,2009-01-09
Office of Contracting & Procurement,285.18,2009-01-09
Office of Contracting & Procurement,-139.68,2009-01-09
Office of the State Superintendent of Education,216.7,2009-01-09
Office of the State Superintendent of Education,799.99,2009-01-09
Department of Public Works,69.95,2009-01-14
Department of Health,400.0,2009-01-13
Department of  Youth Rehabilitation Services,380.8,2009-01-14
Department of Human Services,97.28,2009-01-14
Department of Health,39.9,2009-01-08
Department of Health,561.0,2009-01-14
Department of Health,5020.69,2009-01-13
Fire & Emergency Medical Services,312.71,2009-01-13
Metropolitan Police Department,610.5,2009-01-14
Homeland Security/Emergency Management,2000.0,2009-01-13
Fire & Emergency Medical Services,67.96,2009-01-14
Fire & Emergency Medical Services,-59.98,2009-01-14
Fire & Emergency Medical Services,-54.99,2009-01-14
Fire & Emergency Medical Services,74.9,2009-01-14
Department of Human Services,93.35,2009-01-14
Fire & Emergency Medical Services,374.44,2009-01-13
Fire & Emergency Medical Services,-503.7,2009-01-13
Metropolitan Police Department,149.0,2009-01-14
Metropolitan Police Department,1345.18,2009-01-15
Department of Employment Services,1500.0,2009-01-15
District Department of the Environment,350.0,2009-01-15
District Department of the Environment,827.0,2009-01-15
District Department of Transportation,549.6,2009-01-15
District Department of Transportation,1880.68,2009-01-15
District Department of Transportation,66.48,2009-01-15
Department of Health,49.79,2009-01-15
District Department of Transportation,1959.61,2009-01-14
District Department of Transportation,-103.96,2009-01-15
Department of Health,1903.11,2009-01-15
District Department of the Environment,50.0,2009-01-15
District Department of the Environment,598.55,2009-01-15
District Department of the Environment,400.0,2009-01-15
District Department of the Environment,215.0,2009-01-15
Department of Health,450.0,2009-01-15
Department of Health,450.0,2009-01-15
Department of Health,450.0,2009-01-15
Department of Health,450.0,2009-01-15
Department of Health,450.0,2009-01-15
DC Public Library,1180.58,2009-01-16
District Department of Transportation,183.86,2009-01-16
District Department of Transportation,327.34,2009-01-16
District Department of Transportation,275.79,2009-01-16
District Department of Transportation,80.52,2009-01-16
District Department of Transportation,262.39,2009-01-17
District Department of Transportation,114.95,2009-01-17
Fire & Emergency Medical Services,157.0,2009-01-16
Fire & Emergency Medical Services,1905.12,2009-01-16
Department of Property Management,35.92,2009-01-15
DC Public Library,973.98,2009-01-16
Office of the Attorney General,2306.25,2009-01-16
Department of Public Works,2000.0,2009-01-16
DC Taxicab Commission,914.0,2009-01-16
Office of the Chief Technology Officer,4286.75,2009-01-16
Fire & Emergency Medical Services,-24.99,2009-01-15
District Department of Transportation,415.52,2009-01-15
District Department of Transportation,120.0,2009-01-16
District Department of Transportation,56.24,2009-01-17
District Department of Transportation,500.0,2009-01-16
