AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Department of  Youth Rehabilitation Services,848.0,2009-06-04
Department of Health,1892.0,2009-05-22
Office of Finance & Resource Management,1801.31,2009-04-23
Metropolitan Police Department,135.98,2009-06-27
Fire & Emergency Medical Services,521.12,2009-11-04
Department of  Youth Rehabilitation Services,535.6,2009-07-14
Office of Police Complaints,116.59,2009-08-08
Department of Consumer & Regulatory Affairs,563.7,2009-09-25
Office of the Tenant Advocate,27.47,2009-09-16
Department of Public Works,107.0,2009-06-01
Office of Police Complaints,373.39,2009-02-20
Department of Health,314.21,2009-10-29
Fire & Emergency Medical Services,68.97,2009-12-05
"Department of Insurance, Securities & Banking",658.52,2009-07-01
Office of Disability Rights,161.37,2009-07-14
District Department of Transportation,609.95,2009-05-19
Commission on Arts & Humanities,234.84,2009-10-29
Office of the Inspector General,751.88,2009-06-03
University of the District of Columbia,115.96,2009-09-03
Department of Public Works,99.0,2009-12-21
Office of the State Superintendent of Education,185.2,2009-04-06
Fire & Emergency Medical Services,82.43,2009-02-19
Office of the Chief Technology Officer,739.2,2009-02-13
Department of Corrections,325.54,2009-02-26
Office of the Chief Financial Officer,1270.6,2009-06-12
Department of Employment Services,78.12,2009-02-09
Office of the Tenant Advocate,-14.95,2009-05-13
Office of the Mayor,360.36,2009-06-04
Department of  Youth Rehabilitation Services,109.45,2009-03-11
Department of Health,706.0,2009-08-21
Department of Motor Vehicles,80.02,2009-01-19
Metropolitan Police Department,95.0,2009-10-28
District Department of Transportation,155.0,2009-05-01
Office of the Chief Financial Officer,175.0,2009-01-06
Department of Housing & Community Development,125.0,2009-07-02
Department of Employment Services,295.83,2009-02-24
Office of the State Superintendent of Education,167.2,2009-03-24
Department of Consumer & Regulatory Affairs,486.41,2009-05-27
Department of Motor Vehicles,213.91,2009-08-05
Office of the Chief Financial Officer,500.0,2009-01-17
Office of Human Rights,299.9,2009-07-17
Department on Disability Services,324.08,2009-12-11
Fire & Emergency Medical Services,1445.08,2009-02-12
Office of the Inspector General,412.02,2009-11-05
Office of Police Complaints,266.4,2009-09-21
Office of Unified Communications,1892.0,2009-05-28
DC Public Library,625.59,2009-06-11
Office of the Chief Medical Examiner,289.69,2009-05-12
Serve DC,1693.0,2009-11-18
Department of Human Services,2091.67,2009-05-18
Department of Small & Local Business Development,230.0,2009-05-05
District Department of Transportation,224.88,2009-08-24
Department of Property Management,1705.0,2009-11-19
Office of Contracting & Procurement,917.3,2009-10-16
Office of the Chief Technology Officer,-82.43,2009-02-19
DC Public Library,1870.0,2009-09-22
Metropolitan Police Department,806.21,2009-12-10
Department of Public Works,300.0,2009-02-05
DC Department of Human Resources,450.0,2009-03-04
Department of Public Works,99.07,2009-09-04
Office of Human Rights,174.84,2009-07-16
Disability Compensation Fund,52.0,2009-11-12
Department of Health,4.75,2009-01-15
Fire & Emergency Medical Services,-75.0,2009-09-09
Office of the Tenant Advocate,14.25,2009-01-26
Department on Disability Services,-26.5,2009-03-09
Department of Health,769.12,2009-07-21
Office of Police Complaints,440.73,2009-08-28
Office of the State Superintendent of Education,231.36,2009-08-19
Metropolitan Police Department,1219.24,2009-10-15
DC Public Library,3000.0,2009-09-09
Office of Finance & Resource Management,0.01,2009-10-07
DC Public Library,98.7,2009-02-24
DC Public Library,672.16,2009-06-15
Office of the Inspector General,181.0,2009-11-24
DC Department of Human Resources,1000.0,2009-07-08
University of the District of Columbia,720.94,2009-11-13
DC Department of Human Resources,1329.39,2009-06-08
Office of Municipal Planning,-140.78,2009-12-29
Child & Family Services Administration,1243.01,2009-07-02
DC Public Library,225.0,2009-12-02
Department of Employment Services,323.34,2009-05-16
Department of Public Works,473.0,2009-01-26
Office of the Chief Financial Officer,159.84,2009-08-14
Department of Public Works,-845.0,2009-07-27
Office of the State Superintendent of Education,1000.0,2009-04-09
Contract Appeals Board,1909.83,2009-03-21
Office of the Chief Financial Officer,114.65,2009-07-10
Department on Disability Services,30.0,2009-12-02
Department of Property Management,15.74,2009-03-03
