AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Department of  Youth Rehabilitation Services,916.5,2009-08-22
Department of Corrections,188.05,2009-03-31
DC Public Library,1590.07,2009-02-27
Department of Consumer & Regulatory Affairs,2195.98,2009-04-10
Department of Health,2128.07,2009-08-04
Department of  Youth Rehabilitation Services,202.29,2009-08-08
Office of the State Superintendent of Education,1735.72,2009-11-25
Department of Employment Services,251.76,2009-11-14
District Department of the Environment,2286.22,2009-08-19
Office of the State Superintendent of Education,2196.45,2009-03-26
Department of Employment Services,168.67,2009-11-03
University of the District of Columbia,53.92,2009-10-15
Department of  Youth Rehabilitation Services,1315.66,2009-08-16
Office of Contracting & Procurement,2211.12,2009-07-03
Department of Health,212.29,2009-07-20
Department of  Youth Rehabilitation Services,2151.28,2009-01-08
Department of  Youth Rehabilitation Services,1408.19,2009-03-25
Office of Unified Communications,813.15,2009-06-30
Office of the State Superintendent of Education,647.27,2009-11-08
Office of the State Superintendent of Education,280.21,2009-07-18
DC Department of Human Resources,118.56,2009-11-04
Office of the State Superintendent of Education,2152.54,2009-09-21
"Department of Insurance, Securities & Banking",1512.55,2009-03-31
Office of the State Superintendent of Education,471.85,2009-11-09
Department of Health,2500.76,2009-03-12
Office of the State Superintendent of Education,2116.32,2009-11-01
Board of Elections & Ethics,967.29,2009-09-14
Office of the State Superintendent of Education,388.22,2009-10-23
DC Public Library,511.19,2009-11-05
Department of Health,607.7,2009-07-09
Department of Health,1814.27,2009-01-14
Department of Public Works,2544.31,2009-07-29
Office of the State Superintendent of Education,1259.17,2009-09-15
Office of the State Superintendent of Education,470.69,2009-07-22
Department on Disability Services,437.87,2009-10-17
Office of Administrative Hearings,2569.62,2009-04-04
Office of the Secretary,2316.76,2009-10-26
Department of  Youth Rehabilitation Services,674.82,2009-03-22
Office of the State Superintendent of Education,45.76,2009-11-26
Department of Motor Vehicles,631.18,2009-04-10
Office of Cable TV,267.56,2009-10-15
Office of Municipal Planning,1935.24,2009-11-03
Office of the State Superintendent of Education,515.59,2009-07-20
Department on Disability Services,1338.95,2009-06-14
Department of Health,74.5,2009-10-25
Department of Parks & Recreation,894.42,2009-09-16
Office of Unified Communications,1476.95,2009-01-07
Office of Cable TV,2676.95,2009-12-25
Criminal Justice Coordinating Council,966.42,2009-10-13
Department of Employment Services,231.76,2009-11-01
Department of  Youth Rehabilitation Services,128.74,2009-08-22
Office of the State Superintendent of Education,321.36,2009-11-05
Department of Human Services,-10.93,2009-06-17
Department of Mental Health,130.33,2009-10-17
Department of Parks & Recreation,1857.85,2009-09-22
Serve DC,13.92,2009-07-15
Department of Public Works,2098.93,2009-07-07
Department on Disability Services,437.2,2009-06-12
Department of Human Services,2486.29,2009-08-24
Department of  Youth Rehabilitation Services,201.14,2009-06-14
Department of  Youth Rehabilitation Services,184.27,2009-10-26
Department of Health,277.0,2009-07-24
Office of the Secretary,-80.54,2009-10-30
Department of Corrections,1833.71,2009-10-30
Department of Health,1161.91,2009-12-30
Department of  Youth Rehabilitation Services,852.67,2009-10-19
Department of Employment Services,2639.42,2009-12-22
DC Taxicab Commission,2447.28,2009-10-02
Serve DC,2603.54,2009-11-14
Department of Employment Services,2762.3,2009-08-11
Department of Human Services,527.71,2009-11-15
Department of  Youth Rehabilitation Services,2750.29,2009-07-17
Department of Health,184.13,2009-07-23
DC Public Library,2530.47,2009-02-23
Board of Elections & Ethics,295.19,2009-10-26
Department of  Youth Rehabilitation Services,2294.36,2009-06-25
Department on Disability Services,735.03,2009-11-05
District Department of the Environment,1863.34,2009-01-09
Department of  Youth Rehabilitation Services,1735.66,2009-08-30
DC Public Library,348.6,2009-07-08
Department of  Youth Rehabilitation Services,337.98,2009-07-09
Department of Public Works,243.95,2009-07-02
Department of  Youth Rehabilitation Services,147.3,2009-03-24
Department of  Youth Rehabilitation Services,110.81,2009-06-26
Department of Health,1502.93,2009-02-05
Office of the State Superintendent of Education,1129.67,2009-01-06
Child & Family Services Administration,2750.59,2009-12-11
Office of the State Superintendent of Education,145.85,2009-01-07
Department of  Youth Rehabilitation Services,436.96,2009-09-22
Department of Human Services,243.25,2009-03-22
Department of  Youth Rehabilitation Services,1986.16,2009-09-02
Department of Employment Services,1175.26,2009-02-14
Office of the State Superintendent of Education,340.82,2009-11-02
Department of Corrections,329.0,2009-07-21
Office of Cable TV,2635.8,2009-11-11
